SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,UTD_NUM,UTD_PCT,PME_NUM,PME_PCT,PBE_NUM,PBE_PCT,REPORTED
0109835,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,NEWARK,FAME PUBLIC CHARTER,110,85,77,0,0,25,23,Y
0123968,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,COMMUNITY SCHOOL FOR CREATIVE EDUCATION, ,,,,,,,N
6002000,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,LAZEAR CHARTER ACADEMY,63,63,100,0,0,0,0,Y
0130609,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,ALAMEDA COMMUNITY LEARNING CENTER,52,51,98,0,0,1,2,Y
0128199,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,ENCINAL JUNIOR JETS, ,,,,,,,N
6090054,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,LINCOLN MIDDLE,311,304,98,2,1,5,2,Y
0126656,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,MAYA LIN, ,,,,,,,N
0119222,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,NEA COMMUNITY LEARNING CENTER,47,34,72,0,0,13,28,Y
0122085,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,THE ACADEMY OF ALAMEDA,166,161,97,0,0,5,3,Y
6090112,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,WILL C. WOOD MIDDLE,122,119,98,0,0,3,2,Y
6090161,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,ALBANY MIDDLE,301,299,99,0,0,2,1,Y
6090294,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,LONGFELLOW ARTS AND TECHNOLOGY MIDDLE,157,157,100,0,0,0,0,Y
6056857,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,MARTIN LUTHER KING MIDDLE,286,286,100,0,0,0,0,Y
0122689,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,REALM CHARTER MIDDLE,104,100,96,2,2,2,2,Y
